,nombre_proyecto,moneda,precio,tamaño,dormitorios,baños,unidades_disp,link
31,Condominio Vista Chinquihue,UF,1870,48 a 58 m² útiles,2 a 3 dormitorios,1 baño,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1379430509-condominio-vista-chinquihue-_JM#position=32&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
32,Portal La Foresta,UF,4008,36 a 116 m² útiles,1 a 3 dormitorios,1 a 3 baños,31 unidades disponibles,https://www.portalinmobiliario.com/MLC-1379497139-portal-la-foresta-_JM#position=33&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
33,Edificio del Canto,UF,5375,42 a 73 m² útiles,1 a 2 dormitorios,1 a 2 baños,14 unidades disponibles,https://www.portalinmobiliario.com/MLC-1445107933-edificio-del-canto-_JM#position=34&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
34,Espacio Prime,UF,6282,66 a 75 m² útiles,1 a 15 privados,2 a 3 baños,2 unidades disponibles,https://www.portalinmobiliario.com/MLC-1437297647-espacio-prime-_JM#position=35&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
35,Condominio Santa Amalia,UF,3190,43 a 68 m² útiles,2 a 3 dormitorios,1 a 2 baños,13 unidades disponibles,https://www.portalinmobiliario.com/MLC-2263615402-condominio-santa-amalia-_JM#position=36&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
36,Compañia,UF,2529,23 a 55 m² útiles,1 a 2 dormitorios,1 a 2 baños,56 unidades disponibles,https://www.portalinmobiliario.com/MLC-2260278676-compania-_JM#position=37&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
37,Edificio Pewén,UF,3790,37 a 63 m² útiles,1 a 2 dormitorios,1 a 2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1379494311-edificio-pewen-_JM#position=38&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
38,Condominio Manuel Jesús Rivera,UF,1990,50 a 56 m² útiles,2 a 3 dormitorios,1 baño,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569220130-condominio-manuel-jesus-rivera-_JM#position=39&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
39,Parque Presidente Riesco,UF,14900,99 a 119 m² útiles,2 a 3 dormitorios,2 a 3 baños,2 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610692676-parque-presidente-riesco-_JM#position=40&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
40,Edificio Helium,UF,7300,48 a 84 m² útiles,1 a 2 dormitorios,1 a 3 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-2268928784-edificio-helium-_JM#position=41&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
